,name,href,type,boxoffice,mean_price,mean_people,times,director
0,宠爱,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=685447,剧情,51086,35,8,2019-12-31,杨子 Larry Yang
1,叶问4：完结篇,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=624015,动作,42266,36,7,2019-12-20,叶伟信 Wilson Yip
2,误杀,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=693266,剧情,37721,35,8,2019-12-13,柯汶利 Sam Quah
3,我为你牺牲,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=696120,剧情,10614,71,55,2019-12-05,安战军 Zhanjun An
4,变身特工,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694783,动画,10356,36,6,2020-01-03,特洛伊・奎安 Troy Quane
5,美丽人生,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=456236,剧情,5815,34,6,2020-01-03,罗伯托・贝尼尼 Roberto Benigni
6,天使陷落,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694876,动作,5508,33,6,2019-12-31,里克・罗曼・沃夫 Ric Roman Waugh
7,紫罗兰永恒花园外传：永远与自动手记人偶,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695496,剧情,4877,31,4,2020-01-10,石立太一 Ishidate Taichi
8,我和我的祖国,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=691481,剧情,4788,78,346,2019-09-30,陈凯歌 Kaige Chen
9,鲨海逃生,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694805,剧情,4769,30,4,2020-01-10,约翰内斯・罗伯茨 Johannes Roberts
10,半个喜剧,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=679955,喜剧,4580,36,7,2019-12-20,刘露 Lu Liu
11,动物特工局,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=679292,动画,4322,33,4,2020-01-11,张志一 Zhiyi Zhang
12,冰雪奇缘2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=676432,动画,3805,34,7,2019-11-22,珍妮弗・李 Jennifer Lee
13,熊出没・狂野大陆,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695236,动画,3674,36,13,-,丁亮 Leon Ding
14,亲爱的新年好,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694996,剧情,2095,33,3,2019-12-31,彭宥纶 
15,星球大战：天行者崛起,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=681814,动作,1737,46,7,2019-12-20,J・J・艾布拉姆斯 J.J. Abrams
16,为家而战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=686557,动作,1727,29,2,2020-01-10,斯戴芬・莫昌特 Stephen Merchant
17,灭绝,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=697337,科幻,1620,32,4,2020-01-18,本・扬 Ben Young
18,解放・终局营救,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=685446,战争,1595,47,42,2019-12-27,李少红 Shaohong Li
19,海林都,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694774,剧情,1264,42,166,2019-11-21,彭军 Jun Peng
20,雪人奇缘,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=691939,喜剧,985,84,364,2019-10-01,托德・维尔德曼 Todd Wilderman
21,哪吒之魔童降世,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=662685,动画,965,63,329,2019-07-26,饺子 Jiao Zi
22,中国机长,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=681319,剧情,875,69,272,2019-09-30,刘伟强 Andrew Lau
23,只有芸知道,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=686011,剧情,836,36,4,2019-12-20,冯小刚 Xiaogang Feng
24,唐人街探案3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=676314,喜剧,829,43,26,-,陈思诚 Sicheng Chen
